"establecimiento","tipo","distribución-testeo","calle","altura","piso_depto","cruce","barrio_localidad","partido_comuna_dpto","provincia","región sanitaria","teléfono","horario atención","web","mail","unidad coordinadora","responsable","UC mail","UC web","observaciones","latitude","longitude","confidence","fail"
"Hospital de Ingeniero Juárez","HOSPITAL","Testeo","Avenida Degen","","","y Fernando Anaquin e/Salta y Mendoza","Ingeniero Guillermo Juárez","Matacos","FORMOSA","","(03711)420337","Las 24 hs.","","","","","","","","-23.8058851","-62.16885719999999","0.5",""
"Hospital El Potrillo","HOSPITAL","Testeo","Ppal","S/N","","","El Potrillo","Ramon Lista","FORMOSA","","(03711)420189","7 a 19 hs","","","","","","","","-23.1075522","-62.16885719999999","0.5",""
"Hospital Laguna Yema","HOSPITAL","Testeo","Ruta Nacional 81","","","A 200 m Escuela Nº45","Laguna Yema","Bermejo","FORMOSA","","","7 a 13 hs","","","","","","","","-24.0349847","-61.14031960000001","0.5",""
"Hospital Dr.Justo Pastor Mongelos","HOSPITAL","Testeo","Fontana","","","y Almirante Brown. Barrio Hospital","Villafañe","Pirané","FORMOSA","","(03717)490991/107","7 a 19 hs","","","","","","","","-25.7317829","-59.10686870000001","0.5",""
"Hospital Colorado","HOSPITAL","Testeo","Santa Fe","273","","e/San Juan y Av. Larrañde","Colorado","Pirané","FORMOSA","","","6 a 12 y 16 a 20 hs","","","","","","","","-26.3089227","-59.36553649999999","0.7",""
"Hospital Pirané","HOSPITAL","Testeo","Sarmiento","685","","e/Gral Paz y San Lorenzo","","Pirané","FORMOSA","","","Las 24 hs.","","","","","","","","-45.5840193","-69.0589403","0.7",""
"Hospital Palo Santo","HOSPITAL","Testeo","Avenida 2 de Abril","","","e/ Av Vidal y Misiones, a 1 cuadra de la Municipalidad","Palo Santo","Pirané","FORMOSA","","","7 a 19 hs","","","","","","","","-25.7317829","-59.10686870000001","0.5",""
"Hospital Pablo Soria","HOSPITAL","Testeo","Guemes","1345","","","","Capital","JUJUY","","(0388)4221263","","","","","","","","","-24.8007193","-65.4176523","0.9",""
"Hospital San Roque","HOSPITAL","Testeo","San Martin","330","","","","Capital","JUJUY","","(0388)4221302","También en horario nocturno:\r\nConsultorio Nocturno de Consejería y\r\nDetección del VIH. Martes y Jueves de 21 a 22.30 hs","","","","","","","Consultorio Nocturno de consejeria y detecciòn del VIH","-34.5626117","-58.5509904","0.7",""
"Hopital Nuestra Sra Del Carmen","HOSPITAL","Testeo","Mitre","S/N","","-24.3853438,-65.2628411","","El carmen","JUJUY","","(0388)4933106","","","","","","","","","-24.3885968","-65.1065795","0.7",""
"Hospital Escolástico Zegada","HOSPITAL","Testeo","Senador Perez","s/n","","","","Fraile Pintado","JUJUY","","(03886)480041","","","","","","","","","-23.9419065","-64.8029203","0.7",""
"Hospital Monterrico","HOSPITAL","Testeo","Manzana 106","","","Bº El Progreso","","Monterrico","JUJUY","","","","","","","","","","","-24.4429822","-65.1663478","0.5",""
"Hospital Wenceslao Gallardo","HOSPITAL","Testeo","Avenida Río De La Plata","4612","","","","Palpalá","JUJUY","","(0388)4270523","","","","","","","","","-24.2575779","-65.2130483","0.7",""
"Hospital Arturo Zabala","HOSPITAL","Testeo","L.N. Alem","S/N","","","","Perico","JUJUY","","(0388)4911200","","","","","","","","","-24.3849622","-65.1208524","0.5",""
"Hospital Lab. Central","HOSPITAL","Testeo","Alberdi","219","","","","Capital","JUJUY","","(0388)4221308","","","","","","","","","-24.1857864","-65.2994767","0.5",""
"Hospital Sequeiros","HOSPITAL","Testeo","Ecuador","53","","","","Capital","JUJUY","","(0388)4221254","","","","","","","","","-24.1857864","-65.2994767","0.5",""
"Hospital Quintana","HOSPITAL","Testeo","Irigoyen","596","","","","Capital","JUJUY","","(0388)4221288","","","","","","","","","-24.1857864","-65.2994767","0.5",""
"Hospital J. Uro","HOSPITAL","Testeo","Patricias Argentinas","185","","","","La Quiaca","JUJUY","","(03885)423186","","","","","","","","","-22.1085897","-65.59816409999999","0.9",""
"Hospital Orias","HOSPITAL","Testeo","Avenida R. Keyner","891","","","","Libertador","JUJUY","","(03886)21124","","","","","","","","","-23.831982","-64.7917302","0.7",""
"Hospital Paterson","HOSPITAL","Testeo","P. Argentina","S/N","","","","San Pedro","JUJUY","","(03884)420589","","","","","","","","","-24.2310284","-64.86830549999999","0.5",""
"Hospital \"Gobernador Centeno\"","HOSPITAL","Testeo","17","","","e/108 y 116","","Gal. Pico","LA PAMPA","","(02302)436148","1º martes de c/mes 15 a 16 hs.","","","","","","","","-35.6670608","-63.7608947","1",""
"Centro de Salud Barrio Aeropuerto","","Testeo","Castro","","","y Carlos Gardel","","Santa Rosa","LA PAMPA","","(02954)434566","Martes 10 a 14 hs","","","","","","","","-36.6054259","-64.2761623","0.7",""
"Hospital Evita","HOSPITAL","Testeo","H. Del Carril","","","y Ferrando","","Santa Rosa","LA PAMPA","","(02954)437481","Miercoles 11 a 13 hs","","","","","","","","-36.6411453","-64.29408540000001","0.7",""
"Centro Sanitario","","Testeo","Cnel. Gil","751","","","","Santa Rosa","LA PAMPA","","(02954)453330/01","Lunes 8 a 19  y Miercoles 12 a 13 h","","","","","","","","-36.6247789","-64.2900284","0.9",""
"Hospital Lucio Molas","HOSPITAL","Testeo","Raúl B. Díaz","S/N","","","","Santa Rosa","LA PAMPA","","(02954)455000","Martes 18 a19, Jueves 13 a 14 hs","","","","","","","","-36.5980095","-64.2898458","0.7",""
"Hospital de Toay","HOSPITAL","Testeo","San Luis","1150","","","","Toay","LA PAMPA","","(02954)492005","1º miercoles de C/mes 15 a 16 hs","","","","","","","","-36.6715677","-64.38023009999999","0.9",""
"CEDITET (Centro Centro de Diagnóstico y Tratamiento de\nEnfermedades Transmisibles)","Diagnostico y Tratamiento","Testeo","Pelagio B. Luna","868","","","","Capital","LA RIOJA","","","Lun a Vie de 7.30 a 16 hs.","","","","","","","","-29.4126809","-66.86035820000001","0.9",""
"C.P.S. Puerta de La Quebrada","Centro Primario de Salud","","","","","","","Capital","LA RIOJA","","","","","","","","","","","-29.4134538","-66.8564579","0.5",""
"Hospital \"Dr. Vera Barros\"","HOSPITAL","Testeo","Olta","","","y 26 de Setiembre","","Capital","LA RIOJA","","453552/3,428563,427814","","","","","","","","","-29.4134538","-66.8564579","0.5",""
"Hospital Distrital Guandacol","HOSPITAL","Testeo","San Martin","S/N","","","","Guandacol","LA RIOJA","","(03825)492060","","","","","","","","","-29.5175209","-68.5327301","0.5",""
"Hospital Distrital Patquia","HOSPITAL","Testeo","9 de Julio","S/N","","","","Patquia","LA RIOJA","","(03822)491800","","","","","","","","","-30.0480849","-66.8816251","0.7",""
"Hospital Distrital Pituil","HOSPITAL","Testeo","Santo Domingo","S/N","","","","Pituil","LA RIOJA","","(03825)484060","","","","","","","","","-28.5671997","-67.45056149999999","0.5",""
"Hospital Zonal Villa Union","HOSPITAL","Testeo","Arenales","S/N","","","","Villa Union","LA RIOJA","","(03825)479207","","","","","","","","","-29.3246592","-68.2253776","0.7",""
"Hospital San Nicolas","HOSPITAL","Testeo","Casimiro Godoy","S/N","","","","Aimogasta","LA RIOJA","","(03827)429004","","","","","","","","","-28.5549145","-66.81731409999999","0.5",""
"Ex.Hospital Pte. Plaza","HOSPITAL","Testeo","Pelagio B. Luna","336","","","","Capital","LA RIOJA","","(03822)426345","","","","","","","","","-29.4118635","-66.8530365","0.9",""
"Hospital E. M. Motta","HOSPITAL","Testeo","Alberto Gregorio Cavero","500","","","","Chilecito","LA RIOJA","","(03825)423895","","","","","","","","","-29.1659603","-67.5","0.5",""
"Hospital E. Neira","HOSPITAL","Testeo","Arenales","S/N","","","","Villa Union","LA RIOJA","","(03825)429105","","","","","","","","","-29.3246592","-68.2253776","0.7",""
"Centro de Salud Nº 138 El Ceibo","","","Calle C","","","e/ 13 y 16","Bowen","Gnal. Alvear","MENDOZA","","(02625)15419412","","","","","","","","","-32.8894587","-68.8458386","0.5",""
"Centro de Salud Nº 121 Bowen","","","General Alvear","","","y Pedro Pascual Segura","Bowen","Gnal Alvear","MENDOZA","","(02625)480019","","","","","","","","","-32.8894587","-68.8458386","0.5",""
"Centro de Salud Nº 122 Carmensa","","","Arduino de Devoto","S/N","","","Carmensa","Gnal. Alvear","MENDOZA","","(02625)493008","","","","","","","","","-32.8894587","-68.8458386","0.5",""
"Centro de Salud Nº 91 Colonia Las Rosas","","","Tabanera","S/N","","","Colonia Las Rosas","Tunuyan","MENDOZA","","","","","","","","","","","-33.6067291","-69.1138445","0.7",""
"Centro de Salud Nº 94 Algarrobo","","","El Alamo","S/N","","","Cordon del Plata","Tupungato","MENDOZA","","","","","","","","","","","-33.3728036","-69.1475583","0.5",""
"Centro de Salud Nº 66 El Mirador","","","San Juan","S/N","","","","El Mirador","MENDOZA","","","","","","","","","","","-33.3202145","-68.33129459999999","0.5",""
"Centro de Salud Nº 95 El Zampal","","","Iriarte","S/N","","","El Zampal","Tupungato","MENDOZA","","","","","","","","","","","-33.3822242","-69.11126949999999","0.7",""
"Centro de Salud Nº 30","","","Colon","339","","y Lavalle","","Godoy Cruz","MENDOZA","","(0261)4220001","","","","","","","","","-32.9285189","-68.84609209999999","0.9",""
"Centro de Salud Nº 188 La Escandinava","","","Granaderos de San Martin","","","y Bolivia","Gnal.Belgrano","Guaymallen","MENDOZA","","(O261)4262151","","","","","","","","","-32.8839882","-68.79210619999999","0.5",""
"Centro de Salud Nº 14 Pedro Molina","","","Granaderos de San Martin","","","y Bolivia","Gnal.Belgrano","Guaymallen","MENDOZA","","(0261)4262151","","","","","","","","","-32.8839882","-68.79210619999999","0.5",""
"Centro de Salud Nº 15 Ejército de los Andes","","","Cipolletti","750","","","Dorrego","Guaymallen","MENDOZA","","(0261)4311918","","","","","","","","","-32.9103329","-68.8282698","0.9",""
"Centro de Salud Nº 62","","","Salvador González","","","e Isaac Estrella","","Junin","MENDOZA","","(02623)492244/492300","","","","","","","","","-33.1441945","-68.48532","0.5",""
"Centro de Salud Nº 198 Fermin Carrizo","","","Iriarte","S/N","","","La Arboleda","Tupungato","MENDOZA","","","","","","","","","","","-33.3822242","-69.11126949999999","0.7",""
"Centro de Salud Nº 101","","","Ejército de Los Andes","588","","","La Consulta","San  Carlos","MENDOZA","","(02622)470001","","","","","","","","","-33.7352562","-69.1208848","0.7",""
"Centro de Salud Nº 73","","","9 de Julio","76","","","Las Catitas","Santa Rosa","MENDOZA","","(02623)495263","","","","","","","","","-25.6186318","-63.26755","0.7",""
"Centro de Salud Nº 31 David Busana","","","Federico Serpa","","","y Repubica del Libano","","Lujan de Cuyo","MENDOZA","","(0261)4980709/4984309","","","","","","","","","-33.0384967","-68.8881261","0.5",""
"Centro de Salud Nº 2 San Antonio","","","Videla Castillo","2944","","","4ta Seccion","","MENDOZA","","(0261)4306890/4376147","","","","","","","","","-32.869851","-68.8277477","1",""
"Centro de Medicina Preventiva Coni","","","Godoy Cruz","","","esq. España","","","MENDOZA","","(0261)4251114/4201662","","","","","","","","","-32.8836768","-68.84027309999999","0.5",""
"Centro de Salud Nº 76 Dr. Angel Pérsico","","","Soberania Nacional","S/N","","","Palmira","San Martin","MENDOZA","","(02623)461060","","","","","","","","","-33.0499088","-68.5668573","0.7",""
"Centro de Salud Nº 17 Carlos Evans","","","Cornelio Moyano","","","y Catamarca","Panquehua","Las Heras","MENDOZA","","(0261)4487662","","","","","","","","","-32.8431424","-68.8318717","0.5",""
"Centro de Salud Nº 5 Pascual Lauriente","","","Bandera de Los Andes","6280","","","Rodeo de la Cruz","Guaymallen","MENDOZA","","(0261)4910332","","","","","","","","","-32.897797","-68.79791999999999","0.7",""
"Centro de Salud Nº 92 San José","","","La Gloria 1768","1768","","","San José","Tupungato","MENDOZA","","","","","","","","","","","-33.3491723","-69.15117719999999","0.7",""
"Centro de Salud Nº 171 Barrio Urquiza","","","San Lorenzo","S/N","","","","Tunuyan","MENDOZA","","","","","","","","","","","-33.5836709","-69.0330011","0.7",""
"Centro de Salud Nº 39 Ugarteche","","","Bº Cuadro Estacion","","","","Ugarteche","Lujan de Cuyo","MENDOZA","","(0261)155000990","","","","","","","","","-33.0391038","-68.8798644","0.5",""
"Centro de Salud Nº 16 Villa Nueva","","","Alpatacal y Chile","","","","Villa Nueva","Guaymallen","MENDOZA","","(0261)4261018","","","","","","","","","-32.8751692","-68.854919","0.7",""
"Centro de Salud Nº 98 Dr.Juan J.Delgado","","","25 de Mayo","630","","","Vista Flores","Tunuyan","MENDOZA","","","","","","","","","","","-33.5759694","-69.01054189999999","0.9",""
"Hospital Metraux","HOSPITAL","Testeo","España","162","","","Fray Luis Beltran","Maipu","MENDOZA","","(0261)4921000/4921704","","","","","","","","","-32.963349","-68.7879348","0.9",""
"Hospital J. Lencinas","HOSPITAL","Testeo","Talcahuano","S/N","","","","Godoy Cruz","MENDOZA","","(0261)272600/4272773","","","","","","","","","-32.9016259","-68.87709029999999","0.7",""
"Hospital Enfermeros Argentinos","HOSPITAL","Testeo","Emilio Civit","S/N","","","","Gnal. Alvear","MENDOZA","","(02625)422165/422333","","","","","","","","","-34.9682418","-67.69796869999999","0.7",""
"Hospital Pediatrico H.Notti","HOSPITAL","Testeo","Bandera de Los Andes","2600","","","","Guaymallen","MENDOZA","","(O261)4132500","","","","","","","","","-32.8972285","-68.8025248","0.9",""
"Hospital Aturo Illia","HOSPITAL","Testeo","Gral Paz","2371","","e/Bella Vista y Progreso","","La Paz","MENDOZA","","(02626)421022/421079","","","","","","","","","-33.4616953","-67.5523355","0.5",""
"Hospital Diego Paroissien","HOSPITAL","Testeo","Goddoy Cruz","461","","","","Maipu","MENDOZA","","(0261)4972833/4972288","","","","","","","","","-32.9814239","-68.78339679999999","0.9",""
"Hospital Regional de Malargüe","HOSPITAL","Testeo","Avenida Gnal. Roca y Aldao","","","","","Malargüe","MENDOZA","","(02627)471048","","","","","","","","","-35.484462","-69.57974949999999","0.5",""
"Hospital Central","HOSPITAL","Testeo","Alem Esquina Salta","","","","","Mendoza","MENDOZA","","(0261)4490500/4490556","","","","","","","","","-32.8927618","-68.8345764","0.5",""
"Hospital L. Lagomaggiore","HOSPITAL","Testeo","Timoteo Gordillo","S/N","","","","Mendoza","MENDOZA","","(0261)4259700/4259703","","","","","","","","","-32.8720808","-68.8610772","0.7",""
"Hospital Saporiti","HOSPITAL","Testeo","La Madrid","629","","","","Rivadavia","MENDOZA","","(02623)442253/442150","","","","","","","","","-33.1959908","-68.4661473","0.5",""
"Hospital Tagarelli","HOSPITAL","Testeo","Las Heras","","","y B. Quiroga","","San Carlos","MENDOZA","","(02622)451166/451111","","","","","","","","","-33.77951669999999","-69.065896","0.5",""
"Hospital Perrupato","HOSPITAL","Testeo","Canal Costa Montecaseros","","","y Ruta Nacional 50","","San Martín","MENDOZA","","(02623)422195/425465","","","","","","","","","-33.0806497","-68.47057","0.5",""
"Hospital Eva Peron","HOSPITAL","Testeo","Calle Republica","S/N","","","","San Rafael","MENDOZA","","(02627)495007","","","","","","","","","-34.6128922","-68.3390622","0.5",""
"Hospital T.J. Schestakow","HOSPITAL","Testeo","Cdte. Torres","150","","","","San Rafael","MENDOZA","","(02627)422580/424291","","","","","","","","","-34.62008","-68.325114","1",""
"Hospital Santa Rosa","HOSPITAL","Testeo","Julio A Roca","239","","","","Santa Rosa","MENDOZA","","(02623)497028","","","","","","","","","-32.8852409","-68.7869237","0.7",""
"Hospital Scaravelli","HOSPITAL","Testeo","Uruguay","","","y Martín de Güemes","","Tunuyan","MENDOZA","","(02622)422324/422329","","","","","","","","","-33.5773119","-69.01052349999999","0.7",""
"Hospital Gnal. Las Heras","HOSPITAL","Testeo","Las Heras","","","y Monseñor Fernández","","Tupungato","MENDOZA","","(02622)488293","","","","","","","","","-33.3637419","-69.1463867","0.5",""
"Hospital Chrabalowki","HOSPITAL","Testeo","Tupungato","","","y Aconcagua","Uspallata","Las Heras","MENDOZA","","(02624)420027","","","","","","","","","-32.5941443","-69.346282","0.5",""
"Hospital Sicoli","HOSPITAL","Testeo","Belgrano","415","","","Villa Tulumaya","Lavalle","MENDOZA","","(0261)4941049","","","","","","","","","-32.9253051","-68.70659979999999","0.7",""
"Centro Médico Municipal","","Testeo","Libertad","720","","Detrás de la Municipalidad de Guaymallén.","Villa Nueva","Guaymallen","MENDOZA","","","Lunes a Viernes de 8 a 13 hs","","","","","","","A cargo de Viviana Vasquez, Retira analisis hasta las 13 hs","-32.899859","-68.7881309","1",""
"Micro Hospital Puente de Hierro","HOSPITAL","Testeo","Silvano Rodríguez","","","y Carlos Gardel","Puente de Hierro","Guaymallen","MENDOZA","","","8 a 13 hs.","","","","","","","A cargo de Juan Pablo Diaz.","-32.8850044","-68.7393446","0.5",""
"Prog. Prov. SIDA- ETS","","","Salta","1833","","","","Posadas","MISIONES","","(03764)597806/07","","","prosida7752@yahoo.com.ar","","","","","Jefe de Prog. Dra. Lila Rovira","-27.3715926","-55.8946236","0.9",""
"Cruz Roja Filial Posadas","","","San Martin","2231","","","","Posadas","MISIONES","","(03752)448621","","","posadas@cruzroja.org.ar","","","","","","-27.3655562","-55.8980297","0.9",""
"Ministerio de Salud Pública","","","Junín","2174","","","","Posadas","MISIONES","","","Lunes a Viernes de 6.30 a 19 hs","","","","","","","","-27.3700665","-55.8982726","0.9",""
"Centro Estudiantes Facultad Ciencias Exactas, Química y Naturales","","","Felix De Azara","1552","","","","Posadas","MISIONES","","","Lunes a Viernes de  8 a 20 hs","","","","","","","","-27.3646847","-55.89326879999999","0.9",""
"Módulo de Farmacia y Bioquímica","","","Mariano Moreno","","","y Lopez Torres","","Posadas","MISIONES","","","Lunes a Viernes de  8 a 20 hs","","","","","","","","-27.3817294","-55.8919989","0.5",""
"Escuela Nocturna Nº1474 \"Juana Azurduy\"","","","Garupá","Manzana 1 Finca 1546","","","","Villa Longa","MISIONES","","","Lunes a Jueves de 18 a 20 hs","","","","","","","","-27.4269255","-55.9467076","0.5",""
"Centro Educativo Polimodal Nº 6","","","Barrio Nueva Fatima Garupá","","","","","Posadas","MISIONES","","","7.30 a 17 hs","","","","","","","","-27.3621374","-55.90087459999999","0.5",""
"Comedor \"La Vaquita\",ex obrador Caritas","","","Bº A-4 Etapa 7 Manzana 187","","","","","Posadas","MISIONES","","","14 a 20 hs","","","","","","","","-27.3621374","-55.90087459999999","0.5",""
"Centro Estudiantes Facultad.","Humanidades,Cs.sociales","","Tucuman","1945","","","","Posadas","MISIONES","","","Lunes a Viernes 17 a 22 hs","","","","","","","","-27.3724046","-55.8959159","0.9",""
"Secretaria Estudiantil \"Albergues\"","","","Sarmiento","43","","","","Posadas","MISIONES","","","Lunes a viernes 7 a 12  y 15 a 19 hs","","","","","","","","-27.3651266","-55.8933735","0.7",""
"Hospital Castro Rendón","HOSPITAL","Testeo","Buenos Aires","425","","","","Capital","NEUQUÉN","","(0299)4437727/24831","","","","","","","","","-34.6158607","-58.4375849","0.9",""
"Hospital Horacio Heller","HOSPITAL","Testeo","Godoy","","","y Lihuèn","","Capital","NEUQUÉN","","(0299)4490700/9","","","","","","","","","-38.9516784","-68.0591888","0.5",""
"Hospital Bouquet Roldán","HOSPITAL","Testeo","Lastra","1555","","","","Capital","NEUQUÉN","","(0299)4425105/31328","","","","","","","","","-38.9516784","-68.0591888","0.5",""
"Hospital Cutral Có","HOSPITAL","Testeo","Saenz Peña","","","y Alberdi","","Cutral Có","NEUQUÉN","","(0299)4961608","","","","","","","","","-38.9398372","-69.23119439999999","0.5",""
"Hospital Aluminé","HOSPITAL","Testeo","Lescano","","","y 4º de Caballeria","","Aluminé","NEUQUÉN","","(02942)496150","","","","","","","","","-39.2357132","-70.912852","0.5",""
"Hospital Andacollo","HOSPITAL","Testeo","Nahueve","","","y Huinganco","","Andacollo","NEUQUÉN","","(02948)494021","","","","","","","","","-37.179753","-70.66967819999999","0.5",""
"Hospital B. del Agrio","HOSPITAL","Testeo","25 de Mayo","S/n","","","","B. del Agrio","NEUQUÉN","","","","","","","","","","","-38.9516784","-68.0591888","0.5",""
"Hospital Buta Ranquil","HOSPITAL","Testeo","Avenida Jadul","S/N","","","","Buta Ranquil","NEUQUÉN","","(02948)493000","","","","","","","","","-37.051606","-69.87769709999999","0.5",""
"Hospital Centenario","HOSPITAL","Testeo","Darrieux","577","","","","Centenario","NEUQUÉN","","(0299)4898862/1849","","","","","","","","","-38.8309445","-68.1219437","0.7",""
"Hospital Chos Malal","HOSPITAL","Testeo","Estanislao Flores","650","","","","Chos Malal","NEUQUÉN","","(02948)421400","","","","","","","","","-37.3811982","-70.2735283","0.9",""
"Hospital El Chocón","HOSPITAL","Testeo","Acceso Villa el Chocòn","","","","","El Chocón","NEUQUÉN","","(0299)4901292/343","","","","","","","","","-39.2582571","-68.8297781","0.5",""
"Hospital El Cholar","HOSPITAL","Testeo","Gûemes","S/N","","","","El Cholar","NEUQUÉN","","(02948)492900","","","","","","","","","-37.4430358","-70.6422764","0.5",""
"Hospital El Huecu","HOSPITAL","Testeo","Gûemes","S/N","","","","El Huecu","NEUQUÉN","","(0294)491011","","","","","","","","","-37.6448518","-70.5817795","0.5",""
"Hospital Junín de los Andes","HOSPITAL","Testeo","Ginès Ponte","157","","","","Junín de los Andes","NEUQUÉN","","(O2972)491162/1555","","","","","","","","","-39.9518916","-71.0740773","0.9",""
"Hospital Las Lajas","HOSPITAL","Testeo","Roca","269","","","","Las Lajas","NEUQUÉN","","(02942)499044/27","","","","","","","","","-38.5220464","-70.360338","0.7",""
"Hospital Las Ovejas","HOSPITAL","Testeo","Paseo Dr. Gorni","S/N","","","","Las Ovejas","NEUQUÉN","","(02948)481103","","","","","","","","","-36.9902758","-70.7497021","0.5",""
"Hospital Loncopue","HOSPITAL","Testeo","Avenida San Martin","S/N","","","","Loncopue","NEUQUÉN","","(02942)498038/48","","","","","","","","","-38.0701189","-70.6154837","0.7",""
"Hospital Las Coloradas","HOSPITAL","Testeo","Manzana 7 Lotes A.B.C y D.","","","","","","NEUQUÉN","","(02942)495026","","","","","","","","","-38.82924209999999","-68.1151685","0.7",""
"Hospital Mariano Moreno","HOSPITAL","Testeo","Belgrano","S/N","","","","Mariano Moreno","NEUQUÉN","","(02942)490112","","","","","","","","","-24.2004761","-65.2993205","0.7",""
"Hospital Picún Leufu","HOSPITAL","Testeo","Entre Rios","S/N","","","","Picún Leufu","NEUQUÉN","","(02942)4992022","","","","","","","","","-39.5167049","-69.2893911","0.7",""
"Hospital Piedra del Aguila","HOSPITAL","Testeo","9 de Julio y Rivadavia","","","","","Piedra del Aguila","NEUQUÉN","","(02942)4931141","","","","","","","","","-40.0494881","-70.07952329999999","0.5",""
"Hospital Plaza Huincul","HOSPITAL","Testeo","Bº  Otaño","","","","","Plaza Huincul","NEUQUÉN","","(0299)4964955/7107","","","","","","","","","-38.9370458","-69.19379789999999","0.7",""
"Hospital Plottier","HOSPITAL","Testeo","Martellotta y Chos Malal","","","","","Plottier","NEUQUÉN","","(0299)4933157/6097","","","","","","","","","-38.9475672","-68.22885","0.5",""
"Hospital R.D.L. Sauces","HOSPITAL","Testeo","Jujuy","47","","","","Río de los Sauces","NEUQUÉN","","(0299)4886041/13","","","","","","","","","-38.9516784","-68.0591888","0.5",""
"Hospital S.P. del Chañar","HOSPITAL","Testeo","Calle 27","","","Bº Obrero","","San Patricio del Chañar","NEUQUÉN","","(0299)4855024/84","","","","","","","","","-39.073889","-68.595","0.5",""
"Hospital San Martín de lo Andes","HOSPITAL","Testeo","Coronel Rodhle","813","","","","San Martín de los Andes","NEUQUÉN","","(02972)427211/8542","","","","","","","","","-40.1572103","-71.3524436","0.5",""
"Hospital Senillosa","HOSPITAL","Testeo","Neuquèn","","","y Santa Fè","","Senillosa","NEUQUÉN","","(0299)4920626/534","","","","","","","","","-39.0115126","-68.4280489","0.7",""
"Hospital Tricao Malal","HOSPITAL","Testeo","Volcan Tromen","S/N","","","","Tricao Malal","NEUQUÉN","","(02948)497900","","","","","","","","","-37.0441016","-70.32342229999999","0.5",""
"Hospital Zapala","HOSPITAL","Testeo","Luis Monti","155","","","","Zapala","NEUQUÉN","","(02942)430035/2390","","","","","","","","","-38.9018993","-70.0645986","0.9",""
"Hospital Cinco Saltos","HOSPITAL","Testeo","Martín Fierro","845","","","","Cinco Saltos","RÍO NEGRO","","(0299)4981333/4980336","","","","","","","","","-38.8185995","-68.0631413","0.7",""
"Hospital Dr. F. López Lima","HOSPITAL","Testeo","Gelonch","S/N","","","","Gnal. Roca","RÍO NEGRO","","(02941)435848/435856/54","","","","","","","","","-39.0213995","-67.5800175","0.7",""
"Hospital A.Zatti-Unidad de Sida y ETSH","HOSPITAL, (El Galpon)","Testeo","Rivadavia","391","","","","Viedma","RÍO NEGRO","","(02920)425434-423267","","","","","","","","","-40.8148663","-62.98887980000001","0.9",""
"Hospital Dr. Elías Smirnoff - Consejería en\r\nVIH-sida “El Garage”","HOSPITAL,(El Garage)","Testeo","3 de Febrero","494","","","","Villa Regina","RÍO NEGRO","","(02941)461262-463706","","","","","","","","","-39.101828","-67.0867696","0.7",""
"Hospital Dr.Francisco López Lima","HOSPITAL","Testeo","Gelonch","S/N G","","","","General Roca","RÍO NEGRO","","(0298)4435848/4435856","","","","","","","","","-39.0213995","-67.5800175","0.7",""
"Hospital Dr.Ernesto Accame","HOSPITAL","Testeo","Ingeniero Quesnel","S/N","","","","Allen","RÍO NEGRO","","(0298)4452530/4453650","","","","","","","","","-38.9804217","-67.8200069","0.7",""
"Hospital Dr. Elias Smirnoff","HOSPITAL","Testeo","Fray Luis Beltrán","476","","","","Villa Regina","RÍO NEGRO","","(0298)4461262)4463706","","","","","","","","","-39.1003418","-67.0877991","0.5",""
"Hospital Dr. Pedro Moguillansky","HOSPITAL","Testeo","Naciones Unidas","","","e/Falucho y Venezuela","","Cipolletti","RÍO NEGRO","","(0299)4792563/4770030","","","","","","","","","-38.9259138","-67.9828881","0.7",""
"Hospital Catriel","HOSPITAL","Testeo","España","50","","","","Catriel","RÍO NEGRO","","(0299)4911102/4911298","","","","","","","","","-37.8806502","-67.8017772","0.7",""
"Hospital Cinco Saltos","HOSPITAL","Testeo","Martin Fierro","845","","","","Cinco Saltos","RÍO NEGRO","","(0299)4981333/4980336","","","","","","","","","-38.8185995","-68.0631413","0.7",""
"Hospital Choele Choel","HOSPITAL","Testeo","Avenida San Martín","1319","","","","Choele Choel","RÍO NEGRO","","(02946)442219/443139","","","","","","","","","-39.2947224","-65.6595637","0.7",""
"Hospital Río Colorado","HOSPITAL","Testeo","España","555","","","","Rio Colorado","RÍO NEGRO","","(02931)432222/432600","","","","","","","","","-38.9905979","-64.0911983","0.7",""
"Hospital Enfermero Artemides Zatti","HOSPITAL","Testeo","Rivadavia","391","","","","Viedma","RÍO NEGRO","","(02920)425907/423267","","","","","","","","","-40.8148663","-62.98887980000001","0.9",""
"Hospital Dr. Héctor Monteoliva","HOSPITAL","Testeo","Sarmiento","285","","","","Gnal. Conesa","RÍO NEGRO","","(02931)498111","","","","","","","","","-40.11197","-64.5266446","0.5",""
"Hospital Dr. Anibal Serra","HOSPITAL","Testeo","Avenida Belgrado","1799","","","","San Antonio Oeste","RÍO NEGRO","","(02934)421211/430472","","","","","","","","","-40.7301786","-64.9389791","0.5",""
"Hospital Dr. Osvaldo Bianchi","HOSPITAL","Testeo","Diagonal","S/N","","","","Sierra Grande","RÍO NEGRO","","(02934)481092","","","","","","","","","-40.8049502","-65.08321","0.7",""
"Hospital Valcheta","HOSPITAL","Testeo","Leandro N. Alem","S/N","","","","Valcheta","RÍO NEGRO","","(02934)493232/493107","","","","","","","","","-40.6797888","-66.1624831","0.5",""
